x	y	p	dl.theta_l	Aldicarb	Oxime	Sulfoxide	Sulfoxide_ox	Sulfone	Sulfone_ox
0.01984126984126996	-0.9294117647058827	-2653.564117647055	0.3157623189144068	0	0	0	0	0	0
0.03968253968253978	-0.9823529411764707	-2134.388529411764	0.3219877122333996	0	0	0	0	0	0
0.05952380952380958	-1.0352941176470591	-1615.2129411764665	0.327743301844697	0	0	0	0	0	0
0.07936507936507944	-1.0882352941176472	-1096.037352941175	0.3327738778061127	0	0	0	0	0	0
0.09920634920634928	-1.1411764705882352	-576.8617647058826	0.33672142858248255	0	0	0	0	0	0
0.119047619047619	-1.1941176470588237	-57.68617647058588	0.3389420682173255	0	0	0	0	0	0
0.1388888888888888	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0.13888888888888884	-1.247058823529412	461.4894117647084	0.33899999999999997	0	0	0	0	0	0
0	-0.8764705882352943	-3172.739705882351	0.3092586831483607	0	0	0	0	0	0
0.01984126984126995	-0.8764705882352946	-3172.739705882348	0.3092586831483607	0	0	0	0	0	0
0.039682539682539764	-0.9294117647058824	-2653.564117647059	0.31576231891440676	0	0	0	0	0	0
0.05952380952380956	-0.9823529411764707	-2134.388529411764	0.3219877122333996	0	0	0	0	0	0
0.07936507936507944	-1.0352941176470587	-1615.2129411764718	0.32774330184469697	0	0	0	0	0	0
0.09920634920634927	-1.0882352941176472	-1096.037352941175	0.3327738778061127	0	0	0	0	0	0
0.11904761904761907	-1.1411764705882352	-576.8617647058826	0.33672142858248255	0	0	0	0	0	0
0.1388888888888888	-1.1941176470588237	-57.68617647058588	0.3389420682173255	0	0	0	0	0	0
0.15873015873015886	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0.1587301587301589	-1.2470588235294118	461.4894117647064	0.33899999999999997	0	0	0	0	0	0
0	-0.8235294117647061	-3691.9152941176444	0.30262167468061474	0	0	0	0	0	0
0.019841269841269937	-0.8235294117647061	-3691.9152941176444	0.30262167468061474	0	0	0	0	0	0
0.03968253968253975	-0.8764705882352946	-3172.739705882348	0.3092586831483607	0	0	0	0	0	0
0.05952380952380956	-0.9294117647058822	-2653.5641176470604	0.31576231891440676	0	0	0	0	0	0
0.07936507936507942	-0.9823529411764702	-2134.388529411768	0.32198771223339956	0	0	0	0	0	0
0.09920634920634927	-1.0352941176470587	-1615.2129411764718	0.32774330184469697	0	0	0	0	0	0
0.11904761904761904	-1.0882352941176472	-1096.037352941175	0.3327738778061127	0	0	0	0	0	0
0.1388888888888888	-1.1411764705882352	-576.8617647058826	0.33672142858248255	0	0	0	0	0	0
0.15873015873015883	-1.1941176470588235	-57.68617647058805	0.3389420682173254	0	0	0	0	0	0
0.17857142857142863	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0.17857142857142866	-1.247058823529412	461.4894117647084	0.33899999999999997	0	0	0	0	0	0
0	-0.7705882352941177	-4211.09088235294	0.295959964204804	0	0	0	0	0	0
0.019841269841269923	-0.7705882352941179	-4211.090882352938	0.295959964204804	0	0	0	0	0	0
0.03968253968253975	-0.8235294117647061	-3691.9152941176444	0.30262167468061474	0	0	0	0	0	0
0.05952380952380956	-0.8764705882352946	-3172.739705882348	0.3092586831483607	0	0	0	0	0	0
0.07936507936507944	-0.9294117647058822	-2653.5641176470604	0.31576231891440676	0	0	0	0	0	0
0.09920634920634921	-0.9823529411764708	-2134.3885294117636	0.3219877122333996	0	0	0	0	0	0
0.11904761904761908	-1.0352941176470587	-1615.2129411764718	0.32774330184469697	0	0	0	0	0	0
0.13888888888888884	-1.0882352941176472	-1096.037352941175	0.3327738778061127	0	0	0	0	0	0
0.15873015873015886	-1.1411764705882352	-576.8617647058826	0.33672142858248255	0	0	0	0	0	0
0.17857142857142858	-1.1941176470588237	-57.68617647058588	0.3389420682173255	0	0	0	0	0	0
0.1984126984126984	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0.1984126984126984	-1.2470588235294118	461.4894117647064	0.33899999999999997	0	0	0	0	0	0
0	-0.7176470588235295	-4730.2664705882335	0.2893537952952698	0	0	0	0	0	0
0.019841269841269916	-0.7176470588235295	-4730.2664705882335	0.2893537952952698	0	0	0	0	0	0
0.039682539682539736	-0.7705882352941176	-4211.090882352941	0.29595996420480397	0	0	0	0	0	0
0.05952380952380956	-0.8235294117647061	-3691.9152941176444	0.30262167468061474	0	0	0	0	0	0
0.07936507936507944	-0.8764705882352943	-3172.73970588235	0.3092586831483607	0	0	0	0	0	0
0.09920634920634924	-0.9294117647058824	-2653.564117647059	0.31576231891440676	0	0	0	0	0	0
0.11904761904761904	-0.9823529411764704	-2134.3885294117654	0.3219877122333996	0	0	0	0	0	0
0.13888888888888887	-1.0352941176470587	-1615.2129411764718	0.32774330184469697	0	0	0	0	0	0
0.15873015873015883	-1.0882352941176472	-1096.037352941175	0.3327738778061127	0	0	0	0	0	0
0.1785714285714286	-1.1411764705882357	-576.8617647058782	0.33672142858248255	0	0	0	0	0	0
0.1984126984126984	-1.1941176470588237	-57.68617647058588	0.3389420682173255	0	0	0	0	0	0
0.2182539682539683	-1.3	980.6650000000009	0.33899999999999997	0	0	0	0	0	0
0.21825396825396828	-1.2470588235294118	461.4894117647064	0.33899999999999997	0	0	0	0	0	0
0	-0.6647058823529413	-5249.442058823529	0.2828611519584012	0	0	0	0	0	0
